,pct_0a5,pct_6a14,pct_15a64,pct_65plus,pct_ethnic_afro,pct_ethnic_ind,pct_ethnic_other,pct_without_disc,pct_with_disc,pct_no_school,pct_elementary_edu,pct_elementary2_edu,pct_more_edu,pct_ocup,pct_desocup,pct_inac,pct_serv_med,pct_no_serv_med,pct_pop_auto,pct_pop_sin_auto,rel_dependencia_0_14,rel_h_m
pct_elementary_edu,0.3408715984065738,0.4240489153948862,0.21902828469846117,0.0027934867507625545,0.013388127145409533,0.19463081952981842,0.06588336510370833,0.25078819591101054,0.2386892018491711,0.272348121293302,1.0,0.5452947742810217,-0.278171088108316,0.2641698664019722,0.07558059063095968,0.24875079814386364,0.13948747751791174,0.37587677104693373,-0.27010993912552145,0.5493223046338447,0.35563244356755463,0.26421748636126174
pct_elementary2_edu,0.38732462251867955,0.5095456265065678,0.22031886603201942,-0.1486931632160504,0.027743728099084083,0.167479168105309,0.11528873140572121,0.24992574350057922,0.2045452534892523,0.2824394817760965,0.5452947742810217,1.0,-0.2959265829524377,0.3631359762843234,0.06896808574993672,0.2896262959183299,0.2021432972169967,0.44908801938856846,-0.3445260436268478,0.6411652457206055,0.36712693277971326,0.3457569772888623
pct_more_edu,-0.08929042862580859,-0.03965555955640054,0.4820013629801585,0.479450474434329,0.05944737281180336,-0.11463069843356286,0.19037399483528178,0.26382366287734293,0.0741815335529723,-0.21458073159402402,-0.278171088108316,-0.2959265829524377,1.0,0.5868350798297015,0.07567572926176491,0.4790522270716635,0.7146095602908171,0.0951007240709656,0.11608498695819945,-0.06572858407188614,0.07932500433592313,0.4142073783796603
pct_ocup,0.23111610519015285,0.3179947349514169,0.5391702346590376,0.18957644451647598,0.08804026699592175,0.11483293943894668,0.25157108243986953,0.3955518314373047,0.17647014834040933,0.09043259886685875,0.2641698664019722,0.3631359762843234,0.5868350798297015,1.0,0.03684088014139271,0.3000502553336608,0.733419336571581,0.44726171934961517,-0.2017483787819112,0.4472652420291707,0.2920837503733285,0.6375461248009782
pct_desocup,0.11639088358435211,0.09045711724650808,0.14960458506819627,0.06768570121179071,0.01798130520202112,0.02351476020597569,0.007583764831126634,0.15018668123118736,0.10140904814035939,0.043598677907580104,0.07558059063095968,0.06896808574993672,0.07567572926176491,0.03684088014139271,1.0,0.09685869054032603,0.083691934734283,0.099804997627321,0.001722719070479015,0.1051625717180882,0.0770978711249087,0.08924026572936493
pct_inac,0.12203933347236581,0.28975246069302435,0.4737220678720576,0.4663703392066716,0.03174903764505139,0.002179137060791088,0.21234678895957984,0.34449118522038985,0.28091611004511224,0.08947793906755248,0.24875079814386364,0.2896262959183299,0.4790522270716635,0.3000502553336608,0.09685869054032603,1.0,0.6222959995093842,0.3325663895589258,-0.14368040257135428,0.34810272702694833,0.37330961876721724,0.46241141175785444
pct_serv_med,0.1252184960860144,0.24160854795605857,0.5559193098075528,0.4037621296986927,0.0716417074943511,-0.011396136052985072,0.2480137724104747,0.37782692708354726,0.20279776154237628,0.005712466717786436,0.13948747751791174,0.2021432972169967,0.7146095602908171,0.733419336571581,0.083691934734283,0.6222959995093842,1.0,-0.02467877793279311,-0.11951902605560946,0.3165871463209659,0.3033009080386138,0.5709214349341241
pct_no_serv_med,0.23131797377717894,0.3224393905359296,0.29421996599875566,0.04798275295102639,0.03770003275425903,0.1730041183090826,0.1418788897535388,0.25921882879534003,0.19086742510531635,0.19781066639275013,0.37587677104693373,0.44908801938856846,0.0951007240709656,0.44726171934961517,0.099804997627321,0.3325663895589258,-0.02467877793279311,1.0,-0.23070666605611917,0.44453174064944884,0.26506779501255473,0.38462434652205635
pct_pop_auto,-0.12257714557497651,-0.1673681276430496,-0.03038399360725767,0.08580150110934695,-0.011818202121863042,-0.10341546896195676,-0.10966098978807357,-0.06945706401332664,-0.0765146624046757,-0.126706285679937,-0.27010993912552145,-0.3445260436268478,0.11608498695819945,-0.2017483787819112,0.001722719070479015,-0.14368040257135428,-0.11951902605560946,-0.23070666605611917,1.0,-0.41504918389815054,-0.13262637808337832,-0.175000350137887
pct_pop_sin_auto,0.34124583105146394,0.44527639171796496,0.3129177692906655,-0.017736840564286392,0.04650157685211678,0.17484640444102734,0.1314487394629452,0.30097983361026714,0.27936977450690337,0.24937523703241013,0.5493223046338447,0.6411652457206055,-0.06572858407188614,0.4472652420291707,0.1051625717180882,0.34810272702694833,0.3165871463209659,0.44453174064944884,-0.41504918389815054,1.0,0.3551373864349916,0.3783140325384791
rel_dependencia_0_14,0.3716000387934282,0.5443566085053598,0.47940827848369194,0.2506911415446873,0.025326300354002653,0.10258223036737817,0.08440642928805327,0.2861451876420037,0.2104978336845161,0.1827507392129742,0.35563244356755463,0.36712693277971326,0.07932500433592313,0.2920837503733285,0.0770978711249087,0.37330961876721724,0.3033009080386138,0.26506779501255473,-0.13262637808337832,0.3551373864349916,1.0,0.2691536158952747
rel_h_m,0.1699374715835425,0.2766815904607618,0.4433081893927614,0.1825919781084116,0.058136257679401976,0.09124147037616538,0.2195253034126342,0.33036226201165947,0.17435332849356208,0.1467240310137181,0.26421748636126174,0.3457569772888623,0.4142073783796603,0.6375461248009782,0.08924026572936493,0.46241141175785444,0.5709214349341241,0.38462434652205635,-0.175000350137887,0.3783140325384791,0.2691536158952747,1.0
